398576:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 7933, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 15894, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 11499, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 16611, fractionAlong: 0.5]
321092:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 10977, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 10970, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 8298, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 10678, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 15078, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 15841, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 9617, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 3211, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 3523, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 6157, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 8737, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 6738, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 3209, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 4912, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 5141, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 5072, fractionAlong: 0.5]
403794:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 6774, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 10295, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 3739, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 2718, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 9224, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 10324, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 4609, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 16198, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 17056, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 3288, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 4426, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 5722, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 9260, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 4438, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 9645, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 7982, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 15482, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 14001, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 2679, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 2677, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 6653, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 6856, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 12090, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 16822, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 15591, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 16274, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 10794, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 13320, fractionAlong: 0.5]
339573:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 5244, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 10004, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 11964, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 8057, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 13638, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 6411, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 9984, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 13615, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 11015, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 13611, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 10254, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 12211, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 9401, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 8806, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 7621, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 14072, fractionAlong: 0.5]
333916:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 13544, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 15442, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 14615, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 16816, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 16677, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 11964, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 15027, fractionAlong: 0.5]
