398576:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 8017, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 2677, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 14793, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 12964, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 6378, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 3240, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 3685, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 3967, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 7616, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 3596, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 3253, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 5459, fractionAlong: 0.5]
395984:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 14939, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 13212, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 5042, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN3_LS_sk_668267, cellNumber: 0, segmentId: 8339, fractionAlong: 0.5]
