398576:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 8628, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 3046, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 17168, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 14748, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 11166, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 5602, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 13561, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 13989, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 17310, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 6860, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 6706, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 6847, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 2239, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 13983, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 4796, fractionAlong: 0.5]
395984:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 16936, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 16359, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 16261, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 14584, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 5144, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 14581, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 10311, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 3033, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 3717, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 3745, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 9038, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 10169, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 9554, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 16413, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 16119, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 16407, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 10687, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 10672, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 7872, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 3719, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 15482, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 15972, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 15631, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 11185, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 10661, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 7932, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 15900, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 11479, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 16617, fractionAlong: 0.5]
321092:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 10976, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 10969, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 8297, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_LS_sk_427345, cellNumber: 0, segmentId: 10677, fractionAlong: 0.5]
