398576:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 24919, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 16547, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 20757, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 8686, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 23548, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 18625, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 21715, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 11853, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 6584, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 21137, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 19019, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 9247, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 22504, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 24107, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 18571, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 15121, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 7822, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 20773, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 21073, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 5396, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 19766, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 19503, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 19543, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 17945, fractionAlong: 0.5]
