Radial density of cable,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,31000,32000,33000,34000,35000,36000,37000,38000,39000,40000,41000,42000,43000,44000,45000,46000,47000,48000,49000,50000,51000,52000,53000,54000,55000,56000,57000,58000,59000,60000,61000
PN1 LS,1858.3905496653456,26305.154732041,77131.0801577684,124298.8055095472,154467.2264182235,240126.4745994573,399192.56040352467,389915.38262314646,228485.28796066545,82271.18815800273,23767.90211579679,13731.783912918187,9087.202309656655,6407.437525228138,6123.179386474659,5422.075195540206,3276.0409868326155,2115.979482318718,2636.6452762174868,2273.0030583654498,2528.926966458373,3400.150776291203,2449.509651049655,4968.939767834029,8407.353545858987,3502.8094117936744,1819.5630999705265,1292.9316983593908,1287.5982930988291,1155.1877706384503,1342.5586684911054,1425.135489760155,1399.6447714204965,1556.6446341402489,1802.219592691069,1900.684883092615,2267.5497734852916,1933.3430953920704,1683.9180445387644,1852.7280583898369,1834.8530223194225,1753.4038185088239,2446.759614933846,5225.842199997122,5549.560160006616,1545.9851200670562,2157.3152699917364,4178.781276149848,2819.0713262384584,1926.215293864475,4449.252819004022,2288.001868930271,2466.619656571335,2687.1298951788663,3884.4270516088613,1413.63889790497,2234.5200336673315,1867.2728320989138,1462.559772332741,3427.3515958973367,1744.5769043857485,1386.9249428384755
PN2 LS,6603.8456818388295,29612.697437077808,40782.00524501237,116862.28894703659,193925.25411588285,230570.2319033177,319547.217515823,372002.5761924093,323342.09032062115,71593.7821454642,20628.296874328407,17703.302682605154,4163.399926636822,6298.433798909769,8371.248586417963,6166.741201319552,6259.252799322869,3874.209078959637,1885.5470408611595,1033.4060761155474,1065.6920579583102,1129.2666205266564,1247.4666930324431,1436.162927693409,2248.8996523110127,1988.1572496450578,1390.2587630583776,1268.2241228698128,1094.3390825604647,1260.9784635492676,1181.9773321903212,1260.6333783139219,1334.3948216856984,1552.331508650219,1710.947338017415,2138.203718090711,2063.241590196425,1481.4554753980606,2546.728145603453,2114.1362979580285,1276.903042668582,1436.9902950861272,2511.157047231588,4333.425827591853,4599.520431134499,1725.0308691048815,4578.853403814526,2178.4074084550107,1633.007561481141,4227.186495995713,2852.8441775707447,1717.8808266890107,2270.9791417735605,3910.3076121515123,2614.9312003509426,870.9892479278192,2913.7222487377157,1510.0408135978196,1231.5684442482132,3933.8438467844744,1832.8864578864689,956.2523262443524
PN2 RS,5886.865797064485,24663.014743098374,89866.3131317617,233764.4762992582,371678.14904799295,410693.0518772402,474792.74372070044,553880.6739231074,379864.95132502954,156682.78613617292,39235.76141567875,14879.571335313214,6383.913415159261,1443.1556891930834,15033.238382051451,6543.14520475191,7861.7310507480215,8831.108660879698,10988.90853343916,10314.297266199559,6574.952045035506,7975.253865320124,6264.824299776728,5134.981651761288,6326.317524294704,12944.523500298506,18740.72531909897,3233.8671509031387,2110.3329369372927,1952.4322647670067,1899.1353959849578,1183.3383315402025,1208.044241984607,1452.8108652390613,1406.383950833334,1683.14302720067,3012.502504087192,1756.6595280741433,1330.6780572451778,1717.7320944053654,2450.3918495911084,4911.365130256145,4109.666052694465,5730.361759200546,1947.7803187768172,1730.9113433515458,1923.089065964589,2869.4561410986335,2151.1839647244287,2308.1970245862367,2302.655599653112,2455.4935017039666,2939.446227596029,3091.9014613088057,1328.9054567159399,2958.7371409200096,2310.724454321679,2080.812835782071,1733.2550349402418,2871.7736179203043,1360.36909931089,0
PN1 RS,10265.162464224364,52520.62165950316,95851.44723981315,129291.36431590527,260080.50002994703,415437.8907613255,498836.48341324955,497519.3044975132,367810.5388417542,201240.53110157652,43150.54746842619,9956.159875220295,21187.205082810564,10550.55391715402,11437.480007642958,14203.608385099267,14471.952674213899,10883.507640934076,7461.867230736925,7418.461887362244,4770.261774739486,9722.09255009066,3787.1212788470098,13297.509421879908,11281.662130334666,11251.595204333646,5510.639553253509,3457.7130840223904,3519.8003279962472,2662.553861830107,1877.3402660089591,1209.9607741665761,1278.8814617031167,1718.385697513867,2376.1364077198277,2876.851945035302,1786.5348287121521,1692.3064347309758,2346.7584460629423,3108.1611815237593,3793.172746200404,2150.0218487057205,2272.254503653541,4933.73363833957,1887.015095771966,1425.3450819244913,1956.2417722806526,2205.6359549705803,1629.9817820922801,1829.3730046459145,1757.6386678393822,2178.7280765863716,2095.599977533438,3238.08194789916,2617.548324366781,2165.7822518700928,3006.8109910741596,2346.4708753622826,1468.727400278614,2395.0792817590664,3624.489339159628,190.53437419221183
PN3 LS,1126.9534171230362,12020.064551889101,70019.13982255035,132218.39668880045,163819.96461421542,192437.12988862747,241607.4336901433,348216.8124763135,253969.13739032662,130121.54746198333,44679.79788163004,7431.823818327763,5020.350249124812,3500.3860458049962,1320.1414115020968,1178.5538661321477,1128.649587650009,994.7632948183351,11755.447515468795,6485.072171197188,13979.66428638588,9191.523256629489,4286.408132575933,8166.715377356513,19901.451559540572,11289.058667380028,6121.886910921226,2768.7074666365243,3662.950249713712,2553.806226114889,3325.5966668459323,4362.262797769998,1768.4343480738476,4565.609017380405,3574.758824865522,2305.3524323612146,1671.9529891457814,1801.1067652471918,2765.475165628003,1461.2249407866339,1387.57219008406,1947.2329718783717,1668.2231839699018,6556.217027724655,1542.0714390972935,2189.0624684176273,4627.409504676358,2353.321992524337,2807.7228885798118,3985.8065799829737,2062.2227072346204,2337.3194272738083,3181.4375543600327,2909.01751644286,1903.2132408274801,1957.3479269940833,1487.7383234995987,1391.620003526227,3715.7120326067443,1894.252067504481,862.5264678860036,0
