Radial density of output synapses,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,21000,25000,26000
PN1 LS,0,0,11,21,18,31,30,35,16,4,1,1,0,0,0,0,0
PN2 LS,2,5,5,22,33,36,47,20,13,5,0,0,0,0,0,0,0
PN2 RS,0,1,7,49,59,32,49,40,20,12,1,0,0,0,0,0,1
PN1 RS,0,9,16,22,38,58,42,32,27,7,1,0,2,0,2,2,1
PN3 LS,0,1,12,13,20,33,27,32,12,7,5,0,1,1,0,0,0
